scaffold,LG,av,inv_status
Contig177334,11,46.3905,collinear
Contig177368,4,19.9555,collinear
Contig1774,15,34.669,collinear
Contig177443,14,24.9455,LGC14.3
Contig17749,1,11.3975,collinear
Contig177490,1,3.2645,collinear
Contig1775,2,1.81,LGC2.1
Contig177534,8,46.2085,collinear
Contig1776,13,24.672,collinear
Contig1777,6,40.0395,collinear
Contig17776,9,30.619,LGC9.1
Contig17786,3,54.057,collinear
Contig177909,7,0.6905,collinear
Contig178,3,24.7115,collinear
Contig1780,2,42.074,collinear
Contig178065,2,42.6365,collinear
Contig178138,12,54.0855,NA
Contig178256,1,76.684,LGC1.2
Contig178411,5,12.39,collinear
Contig178440,1,56.1725,collinear
Contig178530,9,3.8425,collinear
Contig178543,1,80.9515,buffer
Contig178586,11,52.908,LGC11.1
Contig178587,6,17.4365,LGC6.1/2
Contig1786,7,44.868,LGC7.2
Contig17868,5,9.4165,collinear
Contig178757,12,55.2365,NA
Contig178880,8,45.9085,collinear
Contig179052,4,47.551,collinear
Contig1791,5,29.658,collinear
Contig179114,6,47.651,collinear
Contig179123,11,57.208,collinear
Contig179142,15,38.4875,collinear
Contig17917,4,21.1535,collinear
Contig179201,1,80.9515,buffer
Contig179209,3,54.9365,collinear
Contig179283,15,22.49,collinear
Contig17932,3,21.02,collinear
Contig179342,11,57.208,collinear
Contig179345,5,2.878,collinear
Contig179431,9,46.571,collinear
Contig179543,1,0.9655,LGC1.1
Contig1796,1,41.2815,collinear
Contig179634,3,0.0095,collinear
Contig179685,8,36.585,collinear
Contig1797,4,4.3785,collinear
Contig179714,1,41.2815,collinear
Contig179743,10,2.839,LGC10.1
Contig1798,12,46.1125,NA
Contig17993,5,42.2,collinear
Contig179960,6,25.735,LGC6.1/2
Contig180038,3,63.143,collinear
Contig18006,5,13.9415,collinear
Contig180100,6,29.3,buffer
Contig180117,5,0.881,collinear
Contig180166,16,44.2675,collinear
Contig180185,12,28.202,NA
Contig180191,11,52.908,LGC11.1
Contig1803,15,30.6775,collinear
Contig1804,7,37.7405,buffer
Contig18041,13,24.672,collinear
Contig180658,6,36.409,collinear
Contig180661,2,69.558,collinear
Contig180674,9,30.619,LGC9.1
Contig1807,8,22.103,collinear
Contig1808,4,40.3905,collinear
Contig180836,4,1.5085,LGC4.1
Contig180943,5,40.1515,collinear
Contig180952,11,52.908,LGC11.1
Contig181072,9,46.2685,collinear
Contig1811,16,21.0665,collinear
Contig181326,1,0.9655,LGC1.1
Contig181342,9,32.454,LGC9.1
Contig1814,17,14.2365,collinear
Contig181413,1,13.1505,collinear
Contig181481,13,4.5985,collinear
Contig1815,1,26.18886297,collinear
Contig181550,15,56.494,collinear
Contig181584,4,1.5085,LGC4.1
Contig1816,9,37.0725,LGC9.1
Contig18171,16,12.7565,collinear
Contig181732,8,17.301,collinear
Contig181791,14,10.2385,LGC14.1/2
Contig1818,12,50.532,NA
Contig181801,13,32.067,collinear
Contig181919,10,32.786,LGC10.2
Contig181984,7,28.603,collinear
Contig182,4,1.5085,LGC4.1
Contig182179,7,26.862,collinear
Contig1822,3,46.931,collinear
Contig1823,1,11.3975,collinear
Contig18230,12,48.712,NA
Contig182350,5,7.433,collinear
Contig182396,6,17.4365,LGC6.1/2
Contig1824,10,40.7145,LGC10.2
Contig18242,9,1.842,collinear
Contig182504,4,1.5085,LGC4.1
Contig18255,14,34.9385,buffer
Contig182990,3,17.8165,collinear
Contig183034,2,42.355,collinear
Contig18307,1,0.9655,LGC1.1
Contig183107,16,47.657,collinear
Contig18312,15,46.8315,collinear
Contig183146,13,24.672,collinear
Contig1832,9,30.619,LGC9.1
Contig183209,4,30.2985,collinear
Contig183666,12,48.712,NA
Contig1837,8,46.2085,collinear
Contig183850,1,76.684,LGC1.2
Contig1839,5,7.433,collinear
Contig183968,12,34.1835,NA
Contig184041,2,52.486,collinear
Contig184182,2,15.417,collinear
Contig184199,9,30.619,LGC9.1
Contig184285,12,0,NA
Contig184321,7,49.158,LGC7.2
Contig184323,12,37.397,NA
Contig184346,1,0.9655,LGC1.1
Contig184698,12,34.1835,NA
Contig184769,2,1.2045,LGC2.1
Contig184770,16,20.4515,collinear
Contig1849,10,17.901,LGC10.2
Contig184920,9,8.7115,collinear
Contig185,9,37.3825,LGC9.1
Contig1850,5,29.946,collinear
Contig185034,8,20.376,collinear
Contig185130,15,29.292,collinear
Contig185165,7,0.0015,collinear
Contig185277,3,58.6295,collinear
Contig185305,8,47.8575,collinear
Contig1854,2,15.1345,buffer
Contig18542,8,46.622,collinear
Contig185474,6,40.0395,collinear
Contig185597,9,46.2685,collinear
Contig18562,13,5.1805,collinear
Contig185685,13,25.8425,collinear
Contig185757,15,25.4845,collinear
Contig185770,8,42.9065,collinear
Contig185779,3,15.7065,collinear
Contig18585,8,41.409,collinear
Contig185866,13,45.9435,collinear
Contig185920,1,35.104,collinear
Contig186,17,46.9945,buffer
Contig18616,9,18.6395,buffer
Contig186268,16,18.342,collinear
Contig186373,4,21.1535,collinear
Contig186376,3,63.143,collinear
Contig1865,4,1.5085,LGC4.1
Contig186527,11,52.908,LGC11.1
Contig186587,8,33.02,collinear
Contig186651,7,27.432,collinear
Contig186710,4,14.9865,collinear
Contig186785,1,70.6185,collinear
Contig186821,10,32.786,LGC10.2
Contig186825,1,29.663,collinear
Contig186854,4,7.6025,collinear
Contig186858,14,10.2385,LGC14.1/2
Contig186866,3,28.87,collinear
Contig186940,4,32.744,collinear
Contig1872,2,83.317,collinear
Contig18725,9,52.999,collinear
Contig187265,4,53.3345,collinear
Contig18754,4,1.5085,LGC4.1
Contig187548,10,17.901,LGC10.2
Contig187634,3,46.931,collinear
Contig187679,1,0.9655,LGC1.1
Contig1877,5,3.446,collinear
Contig187775,5,7.433,collinear
Contig187799,9,46.571,collinear
Contig187877,2,69.558,collinear
Contig187919,13,34.882,collinear
Contig188,13,24.672,collinear
Contig188106,4,1.831,buffer
Contig188124,8,40.811,collinear
Contig188159,1,29.3075,collinear
Contig188285,11,52.908,LGC11.1
Contig188353,12,3.321,NA
Contig188397,15,38.4875,collinear
Contig1884,3,0.0095,collinear
Contig188436,12,37.397,NA
Contig188477,1,35.104,collinear
Contig188560,14,10.2385,LGC14.1/2
Contig188627,16,2.097,collinear
Contig188680,2,42.355,collinear
Contig1887,14,24.6475,LGC14.3
Contig188792,2,76.9735,collinear
Contig188876,1,56.1725,collinear
Contig18892,16,53.77716667,collinear
Contig188931,2,45.73,collinear
Contig188943,7,40.339,collinear
Contig188975,4,49.2865,collinear
Contig188993,3,27.3695,collinear
Contig1890,2,45.73,collinear
Contig189064,6,19.7595,LGC6.1/2
Contig18908,3,63.756,collinear
Contig18914,16,42.834,collinear
Contig189192,14,10.2385,LGC14.1/2
Contig18926,11,53.1745,buffer
Contig189450,13,32.067,collinear
Contig189462,13,42.529,collinear
Contig189570,4,1.5085,LGC4.1
Contig189605,9,8.7115,collinear
Contig1897,3,7.7255,collinear
Contig1898,12,53.8045,NA
Contig189833,2,37.1965,collinear
Contig189890,10,3.12,buffer
Contig190,12,40.5365,NA
Contig190118,10,1.195,LGC10.1
Contig19022,5,21.9255,collinear
Contig190236,11,14.3545,collinear
Contig190280,8,46.2085,collinear
Contig1904,6,38.9605,collinear
Contig190403,13,41.11,collinear
Contig190461,8,39.691,collinear
Contig190468,6,29.5845,buffer
Contig190620,14,0,buffer
Contig190762,7,0.6905,collinear
Contig190849,11,52.3195,buffer
Contig190895,3,29.1695,collinear
Contig191008,8,41.409,collinear
Contig191019,13,34.0375,collinear
Contig191117,3,33.145,collinear
Contig191178,7,2.679,collinear
Contig191206,1,0.9655,LGC1.1
Contig191375,14,10.2385,LGC14.1/2
Contig191398,9,28.0725,LGC9.1
Contig191406,5,21.9255,collinear
Contig191471,8,28.3585,collinear
Contig1915,1,41.2815,collinear
Contig1916,6,60.254,collinear
Contig191738,1,65.7415,collinear
Contig191771,8,50.6905,collinear
Contig1919,2,21.8825,collinear
Contig1921,7,36.0115,buffer
Contig192158,1,0.9655,LGC1.1
Contig192402,10,17.901,LGC10.2
Contig192421,12,39.5329967,NA
Contig192454,13,34.0375,collinear
Contig1926,1,29.5445,collinear
Contig19263,6,29.3,buffer
Contig1927,5,21.43733333,collinear
Contig192776,7,30.0185,collinear
Contig192791,1,80.9515,buffer
Contig1928,4,33.4235,collinear
Contig192814,7,20.3385,collinear
Contig1930,6,53.101,collinear
Contig193100,13,32.067,collinear
Contig193171,1,32.359,collinear
Contig193286,1,70.9435,collinear
Contig193365,1,62.0805,collinear
Contig1936,11,53.1745,buffer
Contig19380,12,41.82552913,NA
Contig193834,17,24.3355,collinear
Contig193845,2,1.486,LGC2.1
Contig193846,5,51.5745,collinear
Contig193930,17,31.27019615,collinear
Contig193939,9,26.0594479,LGC9.1
Contig193945,16,42.834,collinear
Contig194076,4,1.5085,LGC4.1
Contig194157,3,24.7115,collinear
Contig194205,10,1.5235,LGC10.1
Contig194270,10,41.601,buffer
Contig194360,11,52.3195,buffer
Contig1945,3,62.838,collinear
Contig194594,1,0.9655,LGC1.1
Contig19468,10,32.786,LGC10.2
Contig1947,7,29.165,collinear
Contig194734,11,16.4635,collinear
Contig194775,1,0.9655,LGC1.1
Contig194870,1,31.3955,collinear
Contig194888,17,14.2365,collinear
Contig194896,9,8.7115,collinear
Contig195,2,54.455,collinear
Contig1951,1,25.0135,collinear
Contig195138,9,3.8425,collinear
Contig195344,15,14.9685,collinear
Contig1955,9,30.619,LGC9.1
Contig19560,8,14.0075,collinear
Contig195623,17,24.623,collinear
Contig195748,14,10.2385,LGC14.1/2
Contig195776,4,1.5085,LGC4.1
Contig195863,14,10.2385,LGC14.1/2
Contig195958,1,80.9515,buffer
Contig19599,13,8.9415,collinear
Contig196011,15,25.772,collinear
Contig1962,1,0.9655,LGC1.1
Contig19622,5,29.658,collinear
Contig196243,4,1.5085,LGC4.1
Contig196280,9,56.2375,collinear
Contig19632,9,48.382,collinear
Contig196449,11,52.908,LGC11.1
Contig196570,11,53.1745,buffer
Contig196591,3,7.7255,collinear
Contig196694,15,25.4845,collinear
Contig196744,12,9.2,NA
Contig19675,6,51.8115,collinear
Contig1971,13,39.676,collinear
Contig19713,10,17.901,LGC10.2
Contig197144,14,11.4125,buffer
Contig1972,2,17.7745,collinear
Contig19724,9,31.88371908,LGC9.1
Contig19738,14,0.3875,buffer
Contig1975,12,48.712,NA
Contig19750,4,55.9695,collinear
Contig19751,1,55.329,collinear
Contig197602,12,58.5588614,NA
Contig197891,4,1.5085,LGC4.1
Contig1979,5,0.294,collinear
Contig197956,16,47.657,collinear
Contig198,14,24.035,LGC14.3
Contig1980,11,52.908,LGC11.1
Contig198117,15,25.772,collinear
Contig19835,13,21.5775,collinear
Contig198353,6,34.682,collinear
Contig198355,8,19.7875,collinear
Contig198574,7,16.9285,collinear
Contig198775,2,51.859,collinear
Contig19895,6,31.0045,collinear
Contig199055,2,48.8225,collinear
Contig199097,5,9.133,collinear
Contig199298,15,31.2575,collinear
Contig1994,9,52.999,collinear
Contig1995,3,25.89,collinear
Contig199507,16,13.992,collinear
Contig199515,16,13.055,collinear
Contig199552,8,2.1455,collinear
Contig199595,6,41.447,collinear
Contig19980,5,42.2,collinear
Contig200,1,48.9465,collinear
Contig2001,3,17.8165,collinear
Contig200130,11,52.908,LGC11.1
Contig200164,12,44.957,NA
Contig200221,8,52.9455,collinear
Contig2003,14,17.008,buffer
Contig200360,5,7.433,collinear
Contig200385,1,80.9515,buffer
Contig2007,7,50.427,LGC7.2
Contig2008,2,45.73,collinear
Contig20085,1,66.5845,collinear
Contig200908,3,0,collinear
Contig201071,7,30.0185,collinear
Contig20130,8,20.955,collinear
Contig201438,9,46.2685,collinear
Contig2016,4,35.22,collinear
Contig201602,5,51.5745,collinear
Contig20163,4,1.5085,LGC4.1
Contig2018,8,10.1185,collinear
Contig201894,2,15.1345,buffer
Contig2019,3,30.583,collinear
Contig201950,7,28.603,collinear
Contig201971,2,17.7745,collinear
Contig202,2,7.7475,LGC2.1
Contig2020,9,6.3785,collinear
Contig202102,13,45.0935,collinear
Contig202270,3,24.7115,collinear
Contig2023,6,0,buffer
Contig20242,11,52.908,LGC11.1
Contig202435,16,52.7375,collinear
Contig2026,1,32.359,collinear
Contig202996,13,25.8425,collinear
Contig203080,4,1.5085,LGC4.1
Contig203091,4,30.2985,collinear
Contig203123,16,55.8855,collinear
Contig2032,1,31.3955,collinear
Contig2034,10,0.29,buffer
Contig203440,8,1.8435,collinear
Contig203455,6,6.677,LGC6.1/2
Contig203467,8,35.4435,collinear
Contig203599,1,40.70685018,collinear
Contig203668,14,25.2435,LGC14.3
Contig20368,17,20.677,collinear
Contig2037,16,3.4435,collinear
Contig203806,2,41.512,collinear
Contig203849,16,39.05,collinear
Contig203929,11,45.9115,collinear
Contig203986,1,29.663,collinear
Contig204,5,45.4105,collinear
Contig204049,15,13.422,collinear
Contig2041,17,38.0655,collinear
Contig20410,7,4.692,collinear
Contig204163,11,52.908,LGC11.1
Contig204248,14,16.4135,buffer
Contig204259,1,51.951,collinear
Contig204469,1,80.9515,buffer
Contig204500,6,55.892,collinear
Contig204629,11,52.3195,buffer
Contig204664,9,11.628,collinear
Contig20468,5,35.723,collinear
Contig204722,8,2.1455,collinear
Contig20485,16,53.6705,collinear
Contig20499,2,87.489,collinear
Contig205074,9,37.0725,LGC9.1
Contig2051,17,46.9945,buffer
Contig205189,6,44.2655,collinear
Contig2053,4,34.929,collinear
Contig205306,6,53.101,collinear
Contig20540,13,13.6105,collinear
Contig205469,1,0.9655,LGC1.1
Contig20561,4,4.3785,collinear
Contig205659,6,41.166,collinear
Contig2058,14,24.6475,LGC14.3
Contig205819,11,52.80583333,buffer
Contig20589,11,52.908,LGC11.1
Contig2059,7,26.862,collinear
Contig205974,6,44.2655,collinear
Contig206,2,46.2925,collinear
Contig2060,1,42.9605,collinear
Contig2061,1,37.6385,collinear
Contig206152,11,52.908,LGC11.1
Contig20620,13,15.663,collinear
Contig206241,12,33.904,NA
Contig2063,2,85.1205,collinear
Contig206312,1,24.732,collinear
Contig206580,17,24.9095,collinear
Contig206617,6,39.195,collinear
Contig206637,6,46.5235,collinear
Contig20666,7,29.165,collinear
Contig206733,5,1.741,collinear
Contig20678,1,50.726,collinear
Contig207,17,24.9095,collinear
Contig207095,9,47.4765,collinear
Contig207136,14,10.2385,LGC14.1/2
Contig207154,5,26.52,collinear
Contig20723,1,32.359,collinear
Contig207235,12,40.8545,NA
Contig20724,5,3.446,collinear
Contig207283,13,24.672,collinear
Contig207420,12,41.491,NA
Contig20751,2,85.7215,collinear
Contig207706,6,41.7285,collinear
Contig207756,2,25.5645,collinear
Contig207776,16,53.0485,collinear
Contig207890,2,38.415,collinear
Contig207984,14,17.008,buffer
Contig208,13,30.6585,collinear
Contig2080,11,52.908,LGC11.1
Contig2081,14,10.2385,LGC14.1/2
Contig208212,16,3.4435,collinear
Contig208269,9,41.8195,buffer
Contig2083,3,58.6295,collinear
Contig208446,16,5.5255,collinear
Contig208466,16,2.097,collinear
Contig20853,12,53.8045,NA
Contig2086,9,18.6395,buffer
Contig2087,9,15.885,collinear
Contig208735,2,56.205,collinear
Contig208753,3,46.931,collinear
Contig208859,11,52.908,LGC11.1
Contig208869,1,29.3075,collinear
Contig2089,6,60.254,collinear
Contig209,2,69.558,collinear
Contig209050,8,33.02,collinear
Contig2091,1,38.8725,collinear
Contig209124,11,52.908,LGC11.1
Contig209198,9,18.6395,buffer
Contig209294,6,41.166,collinear
Contig2094,8,35.4435,collinear
Contig209409,9,28.0725,LGC9.1
Contig209550,1,46.538,collinear
Contig209699,14,8.8095,LGC14.1/2
Contig2097,15,38.4875,collinear
Contig209766,12,48.712,NA
Contig209895,7,37.4525,LGC7.1
Contig209911,5,51.5745,collinear
Contig210062,6,29.3,buffer
Contig210171,5,42.2,collinear
Contig210179,10,7.446,LGC10.2
Contig2102,16,12.7565,collinear
Contig210384,17,42.3425,collinear
Contig210619,5,45.739,collinear
Contig2108,2,60.093,collinear
Contig2109,3,18.415,collinear
Contig21092,3,38.5965,collinear
Contig2110,12,44.957,NA
Contig21124,8,26.348,collinear
Contig2113,2,45.449,collinear
Contig211502,11,24.462,collinear
Contig211742,9,28.0725,LGC9.1
Contig2118,1,22.4345,collinear
Contig21188,14,10.2385,LGC14.1/2
Contig211923,11,52.908,LGC11.1
Contig212,12,45.7576182,NA
Contig2120,3,62.838,collinear
Contig2121,2,48.8225,collinear
Contig212232,11,55.37569055,collinear
Contig212386,6,8.4375,LGC6.1/2
Contig2124,15,14.54880221,collinear
Contig212467,16,34.149,collinear
Contig212496,13,8.9415,collinear
Contig2125,14,0.3875,buffer
Contig212624,5,3.446,collinear
Contig212654,9,18.6395,buffer
Contig21286,6,52.1655,collinear
Contig21288,4,41.514,collinear
Contig212912,6,15.0625,LGC6.1/2
Contig212985,8,46.2085,collinear
Contig2130,4,12.657,collinear
Contig21331,7,26.2975,collinear
Contig213312,9,47.1745,collinear
Contig213326,5,44.689,collinear
Contig213358,2,15.1345,buffer
Contig213552,5,20.6155,collinear
Contig2136,16,23.3875,collinear
Contig213637,9,31.88371908,LGC9.1
Contig213652,13,8.07,collinear
Contig213735,4,21.1535,collinear
Contig213815,9,46.571,collinear
Contig2139,10,23.6735,LGC10.2
Contig213956,3,21.647,collinear
Contig214124,12,3.321,NA
Contig214145,4,1.359,buffer
Contig214176,16,34.149,collinear
Contig21468,6,0,buffer
Contig215,11,52.801,buffer
Contig2151,14,0.3875,buffer
Contig215238,7,22.8935,collinear
Contig215245,14,10.2385,LGC14.1/2
Contig2154,5,45.739,collinear
Contig215491,11,52.3195,buffer
Contig215560,12,1.276,NA
Contig215584,1,0.9655,LGC1.1
Contig215751,3,47.7845,collinear
Contig21581,15,41.22348222,collinear
Contig215812,1,3.2645,collinear
Contig215951,12,52.961,NA
Contig215952,1,12.85,collinear
Contig216010,9,40.933,LGC9.1
Contig2161,14,10.819,LGC14.1/2
Contig2163,1,6.6055,collinear
Contig216308,2,60.093,collinear
Contig216374,13,26.4255,collinear
Contig216591,3,29.1695,collinear
Contig216668,9,32.454,LGC9.1
Contig2167,5,29.946,collinear
Contig216902,4,32.744,collinear
Contig2170,6,12.4105,LGC6.1/2
Contig217480,8,54.3805,collinear
Contig217599,16,52.7375,collinear
Contig217652,11,52.908,LGC11.1
Contig2177,14,10.2385,LGC14.1/2
Contig217743,14,10.2385,LGC14.1/2
Contig21779,1,52.947,collinear
Contig217790,4,7.6025,collinear
Contig217799,13,16.5845,collinear
Contig217854,11,57.208,collinear
Contig217889,11,52.908,LGC11.1
Contig217930,12,32.98692457,NA
Contig218015,9,47.4765,collinear
Contig2181,3,0.0095,collinear
Contig218189,12,55.2365,NA
Contig218270,2,45.449,collinear
Contig2183,4,30.2985,collinear
Contig21843,12,48.712,NA
Contig218472,14,10.2385,LGC14.1/2
Contig2185,9,3.8425,collinear
Contig218597,16,12.7565,collinear
Contig2188,4,34.929,collinear
Contig219,12,48.712,NA
Contig219088,10,41.57451042,buffer
Contig219092,10,32.786,LGC10.2
Contig21911,1,46.538,collinear
Contig219135,12,46.1125,NA
Contig219436,1,0.9655,LGC1.1
Contig219484,2,50.0105,collinear
Contig21979,16,34.149,collinear
Contig22,6,53.101,collinear
Contig220091,2,15.1345,buffer
Contig220127,1,0.9655,LGC1.1
Contig220225,14,11.4125,buffer
Contig220310,11,53.1745,buffer
Contig220344,7,12.5715,collinear
Contig220589,2,15.1345,buffer
Contig220825,4,7.6025,collinear
Contig2211,15,31.831,collinear
Contig221156,9,6.3785,collinear
Contig221175,7,37.7405,buffer
Contig221207,11,53.1745,buffer
Contig2218,3,0.0095,collinear
Contig221854,9,7.665137628,collinear
Contig222,2,17.7745,collinear
Contig2220,2,15.1345,buffer
Contig222038,16,44.549,collinear
Contig222436,3,25.89,collinear
Contig2225,1,0.9655,LGC1.1
Contig2228,1,80.9515,buffer
Contig222854,1,0.9655,LGC1.1
Contig222879,13,30.6585,collinear
Contig2229,3,30.0185,collinear
Contig222907,4,55.9695,collinear
Contig222986,10,38.1865,LGC10.2
Contig2233,3,12.673,collinear
Contig223324,11,53.1745,buffer
Contig223392,12,52.961,NA
Contig223393,3,46.931,collinear
Contig22345,6,56.97,collinear
Contig223614,1,65.7415,collinear
Contig22373,3,26.7695,collinear
Contig224,4,12.657,collinear
Contig2240,14,10.2385,LGC14.1/2
Contig224054,3,0.0095,collinear
Contig224067,5,7.714,collinear
Contig224098,13,38.829,collinear
Contig2243,1,56.454,collinear
Contig224372,15,36.152,collinear
Contig224452,2,45.73,collinear
Contig224503,8,1.8435,collinear
Contig22466,14,11.4125,buffer
Contig224705,1,0.9655,LGC1.1
Contig22496,7,37.4525,LGC7.1
Contig2250,9,28.0725,LGC9.1
Contig2251,13,24.672,collinear
Contig225132,4,1.5085,LGC4.1
Contig2253,5,7.433,collinear
Contig225545,11,53.1745,buffer
Contig225566,11,52.908,LGC11.1
Contig22563,15,52.737,collinear
Contig2258,14,1.551,LGC14.1/2
Contig225939,3,45.9735,collinear
Contig226027,1,70.6185,collinear
Contig226054,15,8.74,collinear
Contig22608,14,10.2385,LGC14.1/2
Contig226089,2,29.001,collinear
Contig226413,16,19.38025,collinear
Contig226468,7,2.395,collinear
Contig226604,8,14.0075,collinear
Contig226662,8,2.1455,collinear
Contig226916,14,10.2385,LGC14.1/2
Contig227,2,42.355,collinear
Contig227092,7,26.862,collinear
Contig227093,1,46.538,collinear
Contig2272,15,31.831,collinear
Contig227203,4,53.3345,collinear
Contig227339,9,46.2685,collinear
Contig227459,10,15.4495,LGC10.2
Contig2275,5,46.314,collinear
Contig2278,3,0.0095,collinear
Contig227997,2,85.7215,collinear
Contig228,7,42.082,buffer
Contig228058,12,37.397,NA
Contig22811,8,7.634751885,collinear
Contig228211,1,29.3075,collinear
Contig228223,15,31.2575,collinear
Contig2285,2,49.104,collinear
Contig2286,4,27.362,collinear
Contig22860,14,10.2385,LGC14.1/2
Contig22865,8,40.811,collinear
Contig228665,6,7.259,LGC6.1/2
Contig228758,5,46.314,collinear
Contig229032,4,13.24,collinear
Contig229087,15,14.9685,collinear
Contig229382,13,26.4255,collinear
Contig2294,6,55.892,collinear
Contig229501,7,17.4975,collinear
Contig229620,9,30.619,LGC9.1
Contig229732,11,52.908,LGC11.1
Contig229809,5,0,collinear
Contig22981,14,10.2385,LGC14.1/2
Contig229838,1,23.464,collinear
Contig2299,12,28.202,NA
Contig230401,16,34.149,collinear
Contig23047,2,52.486,collinear
Contig2305,7,29.165,collinear
Contig2307,1,41.93383333,collinear
Contig230814,10,0.29,buffer
Contig230868,4,1.4786,buffer
Contig230908,1,48.625,collinear
Contig231,1,25.0135,collinear
Contig23109,7,22.323,collinear
Contig231151,13,45.9435,collinear
Contig231225,2,14.518,buffer
Contig231428,8,46.622,collinear
Contig231445,17,37.592,collinear
Contig2315,6,29.3,buffer
Contig23164,8,50.6905,collinear
Contig231646,17,20.987,collinear
Contig231810,10,23.6735,LGC10.2
Contig232,4,1.5085,LGC4.1
Contig2321,17,40.6465,collinear
Contig2322,5,53.756,collinear
Contig23222,2,69.558,collinear
Contig232402,4,21.1535,collinear
Contig23247,6,55.2685,collinear
Contig232489,16,12.7565,collinear
Contig232617,3,24.991,collinear
Contig232877,6,36.409,collinear
Contig23291,9,1.20875,collinear
Contig233059,12,41.491,NA
Contig233144,10,38.1865,LGC10.2
Contig2332,12,20.34861129,NA
Contig233362,10,15.4495,LGC10.2
Contig233513,3,25.89,collinear
Contig233537,6,56.97,collinear
Contig2337,3,30.3035,collinear
Contig23376,9,11.6545,collinear
Contig2338,2,33.047,collinear
Contig233961,2,64.5765,collinear
Contig234,5,19.5575,collinear
Contig234159,4,32.744,collinear
Contig2342,14,10.2385,LGC14.1/2
Contig234201,14,34.9385,buffer
Contig234294,4,33.763,collinear
Contig23435,10,43.995,buffer
Contig234423,12,53.8045,NA
Contig234743,6,50.1875,collinear
Contig23485,16,16.8195,collinear
Contig2349,6,30.2935,buffer
Contig235,7,5.5455,collinear
Contig235075,16,44.2675,collinear
Contig235175,15,20.2755,collinear
Contig2352,9,19.266,buffer
Contig235560,14,0.3875,buffer
Contig235617,12,52.961,NA
Contig235688,13,20.9445,collinear
Contig2357,1,31.3955,collinear
Contig2358,17,21.274,collinear
Contig235886,1,79.728,LGC1.2
Contig2359,9,41.8195,buffer
Contig236069,9,2.4175,collinear
Contig2361,15,49.1875,collinear
Contig236265,9,28.0725,LGC9.1
Contig236481,10,40.9955,LGC10.2
Contig2365,4,32.744,collinear
Contig236605,5,7.714,collinear
Contig236718,10,17.901,LGC10.2
Contig236891,1,56.454,collinear
Contig237,9,46.571,collinear
Contig2370,10,0.8665,buffer
Contig237035,9,11.6545,collinear
Contig237090,3,9.578,collinear
Contig237208,8,47.8575,collinear
Contig237290,3,27.3695,collinear
Contig2373,1,41.2815,collinear
Contig237468,4,33.763,collinear
Contig2375,13,34.0375,collinear
Contig237519,1,0.9655,LGC1.1
Contig237763,13,45.0935,collinear
Contig237822,4,37.5875,collinear
Contig238020,1,16.31743961,collinear
Contig238045,1,28.033,collinear
Contig238229,11,3.5705,collinear
Contig2383,3,29.1695,collinear
Contig2385,7,20.3385,collinear
Contig238556,6,8.4375,LGC6.1/2
Contig23878,8,39.691,collinear
Contig238951,4,29.7115,collinear
Contig239059,17,60.2805,LGC17.1
Contig239061,15,38.4875,collinear
Contig239128,4,25.314,collinear
Contig239263,3,27.3695,collinear
Contig2393,16,0.885333333,collinear
Contig239381,5,7.433,collinear
Contig2394,2,23.687,collinear
Contig2395,4,36.5505,collinear
Contig239570,6,29.5845,buffer
Contig239577,10,29.47154429,LGC10.2
Contig23968,5,3.446,collinear
Contig2399,3,18.415,collinear
Contig2402,8,29.5045,collinear
Contig240458,4,21.1535,collinear
Contig240514,11,53.1745,buffer
Contig240858,17,33.2995987,collinear
Contig2409,15,38.207,collinear
Contig241,4,1.5085,LGC4.1
Contig2410,2,42.6365,collinear
Contig24107,15,38.4875,collinear
Contig2412,6,46.5235,collinear
Contig24122,15,35.5555,collinear
Contig241280,17,59.6965,LGC17.1
Contig241422,11,14.3545,collinear
Contig24151,6,44.2655,collinear
Contig2416,4,1.359,buffer
Contig2418,6,36.409,collinear
Contig24186,3,63.143,collinear
Contig241943,1,66.866,collinear
Contig241987,1,56.454,collinear
Contig242135,14,10.2385,LGC14.1/2
Contig24231,4,55.9695,collinear
Contig2426,14,48.71,collinear
Contig242601,12,52.961,NA
Contig242617,13,43.676,collinear
Contig242652,1,37.357,collinear
Contig243171,14,17.3545,buffer
Contig243205,3,62.838,collinear
Contig243239,3,21.647,collinear
Contig243259,15,14.54880221,collinear
Contig243280,5,42.4935,collinear
Contig243479,1,0.9655,LGC1.1
Contig243487,2,36.868,collinear
Contig243634,4,7.6025,collinear
Contig243642,10,1.5235,LGC10.1
Contig243651,17,1.4505,collinear
Contig243869,9,28.0725,LGC9.1
Contig243893,4,1.5085,LGC4.1
Contig243899,6,5.105,LGC6.1/2
Contig243994,6,59.958,collinear
Contig244107,8,31.7975,collinear
Contig2445,6,50.1875,collinear
Contig244793,9,52.999,collinear
Contig2448,15,40.3265,collinear
Contig24485,3,24.399,collinear
Contig2449,17,30.59333488,collinear
Contig244919,9,30.619,LGC9.1
Contig2450,3,12.673,collinear
Contig245229,12,46.1125,NA
Contig245396,8,35.164,collinear
Contig245482,12,34.1835,NA
Contig2455,2,45.73,collinear
Contig245766,8,31.7975,collinear
Contig245886,8,46.2085,collinear
Contig245896,13,1.8645,collinear
Contig2459,6,53.101,collinear
Contig245904,12,34.1835,NA
Contig246,7,45.854,LGC7.2
Contig246107,15,31.2575,collinear
Contig2462,3,24.399,collinear
