,scaffold,output_order,start,end,mid,win_size,sites,lnL,topoC_count,topoA_count,topoB_couunt,topoC,topoA,topoB,scaffold.1,start_check,end_check,mid_check,sites_full,pi_Egglayer,pi_Brooder,dxy_Egglayer_Brooder,Fst_Egglayer_Brooder,scaffold.2,start_check_2,end_check_2,mid_check_2,sites_full_2,pi_arcana,pi_compressa,pi_n_sax,pi_spain,dxy_arcana_compressa,dxy_arcana_n_sax,dxy_arcana_spain,dxy_compressa_n_sax,dxy_compressa_spain,dxy_n_sax_spain,Fst_arcana_compressa,Fst_arcana_n_sax,Fst_arcana_spain,Fst_compressa_n_sax,Fst_compressa_spain,Fst_n_sax_spain,LG,av,inv_status
135549,Contig74170,127290,33429,48607,40967,15178,100,-1318.12994,7361,1743,896,0.7361,0.1743,0.0896,Contig74170,33429,48607,42020,2179,0.0087,0.0034,0.0096,0.2228,Contig74170,33429,48607,42020,2179,0.0091,0.0033,0.0033,0.0044,0.0087,0.0104,0.0093,0.0076,0.0068,0.0046,0.0692,0.2518,0.1309,0.1215,0.2122,0.056,1,45.977,collinear
55880,Contig42527,57926,1282,4730,2871,3448,100,-2225.61706,7336,1321,1343,0.7336,0.1321,0.1343,Contig42527,1282,4730,2961,1329,0.0069,0.0053,0.0076,0.0915,Contig42527,1282,4730,2961,1329,0.0072,0.0032,0.0052,0.005,0.0062,0.0078,0.0076,0.0067,0.0065,0.0056,0.035,0.095,0.09,0.0488,0.1671,0.0212,1,65.7415,collinear
94007,Contig53278,91547,200413,213315,203476,12902,100,-1184.16362,7323,1167,1510,0.7323,0.1167,0.151,Contig53278,200413,213315,203869,1957,0.0069,0.0057,0.0071,0.0521,Contig53278,200413,213315,203869,1957,0.0072,0.0045,0.0057,0.0062,0.0068,0.0075,0.0075,0.0059,0.006,0.0061,0.0351,0.0633,0.054,0.0143,0.0444,0.0058,1,28.685375,collinear
37449,Contig38708,41298,44595,46816,45667,2221,100,-1633.97509,7317,1380,1303,0.7317,0.138,0.1303,Contig38708,44595,46816,45716,2029,0.0034,0.0041,0.0043,0.0512,Contig38708,44595,46816,45716,2029,0.0029,0.0051,0.0033,0.0044,0.0048,0.0037,0.0056,0.0056,0.0074,0.0061,0.0603,0.0694,0.2065,0.042,0.1833,0.1403,1,46.538,collinear
98208,Contig54628,95308,24142,29166,26920,5024,100,-1724.87833,7232,817,1951,0.7232,0.0817,0.1951,Contig54628,24142,29166,27067,1709,0.0077,0.0056,0.0103,0.1837,Contig54628,24142,29166,27067,1709,0.0075,0.0078,0.0055,0.0072,0.0095,0.0108,0.0103,0.0096,0.0092,0.0067,0.0566,0.2152,0.1519,0.0535,0.0822,0.015,1,32.359,collinear
37387,Contig38701,41239,114737,126288,122077,11551,100,-1595.07183,7220,1641,1139,0.722,0.1641,0.1139,Contig38701,114737,126288,121109,1796,0.0051,0.0063,0.0063,0.0414,Contig38701,114737,126288,121109,1796,0.0038,0.0043,0.0058,0.0059,0.0083,0.0056,0.0075,0.0086,0.0095,0.0075,0.2123,0.0515,0.2084,0.0616,0.2351,0.0679,1,29.663,collinear
86438,Contig51048,84745,121288,132196,125041,10908,100,-1516.5482,7190,1604,1206,0.719,0.1604,0.1206,Contig51048,121288,132196,126168,2236,0.0052,0.0031,0.0057,0.1367,Contig51048,121288,132196,126168,2236,0.0051,0.0034,0.0025,0.0041,0.0058,0.0054,0.0057,0.0067,0.0062,0.0045,0.0746,0.1706,0.0967,0.1365,0.1959,0.1074,1,35.104,collinear
71497,Contig47003,71532,42744,48100,45983,5356,100,-1505.94694,7177,1775,1048,0.7177,0.1775,0.1048,Contig47003,42744,48100,45652,3921,0.0021,0.0036,0.0037,0.0945,Contig47003,42744,48100,45652,3921,0.0018,0.0025,0.0033,0.0023,0.0026,0.0034,0.0049,0.0035,0.0048,0.0043,0.0585,0.1029,0.3986,0.0209,0.2866,0.1153,1,27.20392121,collinear
48586,Contig40930,51356,81924,88882,84796,6958,100,-2877.44227,7172,1340,1488,0.7172,0.134,0.1488,Contig40930,81924,88882,85279,2610,0.0053,0.0054,0.006,0.0462,Contig40930,81924,88882,85279,2610,0.0053,0.0034,0.0054,0.0052,0.0059,0.0059,0.0063,0.0069,0.0069,0.0057,0.071,0.0402,0.0858,0.0477,0.1781,0.0199,1,54.1525,collinear
105352,Contig57171,101533,37841,40874,39501,3033,100,-1083.76257,7148,2657,195,0.7148,0.2657,0.0195,Contig57171,37841,40874,39374,2211,0.0039,0.0015,0.0036,0.1447,Contig57171,37841,40874,39374,2211,0.0028,0.005,0.0011,0.0034,0.007,0.0029,0.0041,0.0072,0.0071,0.0027,0.1991,0.1915,0.1311,0.2599,0.2271,0.0844,1,75.534,buffer
114234,Contig61183,109130,599,10982,7352,10383,100,-2994.60875,7134,1076,1790,0.7134,0.1076,0.179,Contig61183,599,10982,7404,1846,0.005,0.0065,0.0064,0.0381,Contig61183,599,10982,7404,1846,0.0053,0.0017,0.0058,0.0085,0.0044,0.0062,0.0087,0.0051,0.0073,0.0084,0.046,0.042,0.1125,0.025,0.1142,0.0505,1,0.9655,LGC1.1
134278,Contig73180,126280,85827,103316,99512,17489,100,-1379.8801,7133,1271,1596,0.7133,0.1271,0.1596,Contig73180,85827,103316,95944,2608,0.0054,0.0033,0.0052,0.0782,Contig73180,85827,103316,95944,2608,0.0047,0.0023,0.0031,0.0038,0.0078,0.0049,0.0056,0.0063,0.0066,0.0038,0.1981,0.1016,0.1192,0.1119,0.281,0.0284,1,0.9655,LGC1.1
84060,Contig50496,82677,42497,45473,43749,2976,100,-1194.02298,7106,2136,758,0.7106,0.2136,0.0758,Contig50496,42497,45473,43954,2482,0.0062,0.0043,0.0067,0.1006,Contig50496,42497,45473,43954,2482,0.0058,0.0053,0.0045,0.0036,0.008,0.0066,0.0066,0.0079,0.0079,0.0042,0.0952,0.1009,0.1437,0.0646,0.2503,0.0054,1,75.534,buffer
114095,Contig61139,109006,34114,55992,49590,21878,100,-1621.58962,7093,1926,981,0.7093,0.1926,0.0981,Contig61139,34114,55992,49969,2662,0.0039,0.0037,0.0045,0.0699,Contig61139,34114,55992,49969,2662,0.0035,0.002,0.0037,0.0019,0.0051,0.0045,0.0043,0.005,0.005,0.0038,0.1501,0.0816,0.1896,0.0585,0.3697,0.0654,1,0.9655,LGC1.1
141573,Contig7991,31185,1264,4506,3034,3242,100,-2127.28129,7090,1772,1138,0.709,0.1772,0.1138,Contig7991,1264,4506,3080,1607,0.0047,0.0087,0.0085,0.0843,Contig7991,1264,4506,3080,1607,0.0045,0.0051,0.0073,0.007,0.0054,0.0075,0.0137,0.0081,0.0138,0.0127,0.0323,0.0874,0.4051,0.0267,0.3167,0.1622,1,24.41,collinear
99668,Contig55145,96561,75432,77612,76396,2180,100,-1569.89207,7071,786,2143,0.7071,0.0786,0.2143,Contig55145,75432,77612,76532,1778,0.0116,0.0099,0.0112,0.0137,Contig55145,75432,77612,76532,1778,0.0114,0.0118,0.0098,0.0109,0.0126,0.0109,0.0117,0.0124,0.0131,0.0105,0.0218,0.0117,0.02,0.0173,0.0591,0.0046,1,35.104,collinear
82623,Contig501,4133,9986,17516,14359,7530,100,-1187.13845,7059,1162,1779,0.7059,0.1162,0.1779,Contig501,9986,17516,14875,1873,0.0083,0.0053,0.0075,0.0406,Contig501,9986,17516,14875,1873,0.0073,0.0077,0.0051,0.0064,0.0112,0.0067,0.0074,0.0115,0.0123,0.0058,0.1122,0.0313,0.0331,0.093,0.2324,0.0044,1,22.1525,collinear
84059,Contig50496,82676,37963,42314,40313,4351,100,-1290.69343,7036,1977,987,0.7036,0.1977,0.0987,Contig50496,37963,42314,39998,1910,0.0066,0.0045,0.0077,0.1407,Contig50496,37963,42314,39998,1910,0.0056,0.0065,0.0047,0.0028,0.0092,0.0072,0.0079,0.0095,0.0098,0.0041,0.1202,0.1402,0.2587,0.0799,0.3501,0.0186,1,75.534,buffer
81837,Contig4982,23880,25454,36186,32015,10732,100,-1782.68972,7024,1360,1616,0.7024,0.136,0.1616,Contig4982,25454,36186,32330,2325,0.0029,0.0042,0.0047,0.1083,Contig4982,25454,36186,32330,2325,0.0026,0.0029,0.004,0.004,0.0037,0.0045,0.0055,0.0048,0.0059,0.0045,0.0843,0.115,0.2476,0.0335,0.2054,0.0313,1,65.7415,collinear
77912,Contig48586,77146,126238,128352,127171,2114,100,-1454.46841,7011,526,2463,0.7011,0.0526,0.2463,Contig48586,126238,128352,127251,1549,0.0066,0.0074,0.0083,0.0644,Contig48586,126238,128352,127251,1549,0.0064,0.0065,0.0074,0.0055,0.0075,0.0081,0.009,0.0085,0.0104,0.0075,0.0384,0.0599,0.1825,0.0215,0.2245,0.0341,1,31.3955,collinear
75507,Contig47979,75070,13549,16551,14532,3002,100,-1506.93019,10000,0,0,1,0,0,Contig47979,13549,16551,14735,1533,0.0075,0.002,0.009,0.3248,Contig47979,13549,16551,14735,1533,0.0076,0.0026,0.0018,0.0019,0.0074,0.0093,0.0099,0.0065,0.0074,0.0026,0.0744,0.3504,0.2869,0.2,0.487,0.1018,2,85.7215,collinear
75508,Contig47979,75069,9361,13538,11593,4177,100,-1292.64487,10000,0,0,1,0,0,Contig47979,9361,13538,11475,3050,0.0051,0.0024,0.0073,0.3018,Contig47979,9361,13538,11475,3050,0.0045,0.0037,0.0023,0.002,0.0065,0.0073,0.0065,0.0072,0.0064,0.0025,0.1222,0.3476,0.2853,0.1599,0.3603,0.0357,2,85.7215,collinear
75509,Contig47979,75068,1979,9357,3107,7378,100,-1402.19429,10000,0,0,1,0,0,Contig47979,1979,9357,3655,1659,0.0117,0.0066,0.0151,0.2245,Contig47979,1979,9357,3655,1659,0.0109,0.0092,0.0055,0.0075,0.0136,0.0154,0.0141,0.0128,0.0125,0.0088,0.0772,0.29,0.1846,0.0931,0.1698,0.0934,2,85.7215,collinear
149383,Contig89488,138357,6273,17897,14408,11624,100,-1310.72027,9930,34,36,0.993,0.0034,0.0036,Contig89488,6273,17897,14152,2211,0.005,0.0017,0.0059,0.2839,Contig89488,6273,17897,14152,2211,0.0047,0.0042,0.0017,0.0011,0.0059,0.0057,0.0057,0.0075,0.0076,0.0015,0.074,0.2732,0.2627,0.2043,0.5063,0.0112,2,60.093,collinear
30653,Contig317,2749,106877,112491,109845,5614,100,-1011.92408,9908,92,0,0.9908,0.0092,0,Contig317,106877,112491,110233,2390,0.0065,0.0024,0.0059,0.1412,Contig317,106877,112491,110233,2390,0.0045,0.004,0.0023,0.002,0.0122,0.0047,0.0047,0.0126,0.0127,0.0022,0.3104,0.1493,0.151,0.2968,0.5979,0.0106,2,41.512,collinear
30656,Contig317,2750,112496,128900,119341,16404,100,-958.96712,9895,105,0,0.9895,0.0105,0,Contig317,112496,128900,119847,2605,0.0053,0.0022,0.0051,0.1499,Contig317,112496,128900,119847,2605,0.0032,0.0028,0.0021,0.0017,0.0115,0.004,0.0043,0.0112,0.0113,0.0023,0.4037,0.1758,0.2423,0.2991,0.6415,0.0464,2,41.512,collinear
121383,Contig64852,115247,2018,9995,5173,7977,100,-2218.51438,9660,262,78,0.966,0.0262,0.0078,Contig64852,2018,9995,4935,2201,0.0085,0.007,0.0087,0.0474,Contig64852,2018,9995,4935,2201,0.0071,0.0094,0.0069,0.0043,0.0109,0.008,0.0078,0.0108,0.0101,0.0063,0.0815,0.0519,0.1333,0.038,0.1861,0.0259,2,66.6275,collinear
149378,Contig89488,138356,90,6236,1855,6146,100,-1178.88485,9301,599,100,0.9301,0.0599,0.01,Contig89488,90,6236,2434,1537,0.01,0.0029,0.009,0.1754,Contig89488,90,6236,2434,1537,0.0097,0.0073,0.0028,0.0027,0.0109,0.0092,0.0092,0.008,0.0079,0.0029,0.0608,0.1961,0.1532,0.0927,0.2258,0.0166,2,60.093,collinear
58156,Contig43102,59851,28371,30760,29542,2389,100,-1396.01723,9090,477,433,0.909,0.0477,0.0433,Contig43102,28371,30760,29649,1686,0.0056,0.008,0.0097,0.1326,Contig43102,28371,30760,29649,1686,0.0046,0.0046,0.0072,0.0092,0.008,0.0094,0.0103,0.0097,0.0112,0.0097,0.1543,0.173,0.1997,0.0543,0.1701,0.0506,2,50.324,collinear
75505,Contig47979,75071,16565,27472,25407,10907,100,-1356.09634,9054,685,261,0.9054,0.0685,0.0261,Contig47979,16565,27472,25417,1725,0.0058,0.0028,0.0056,0.1266,Contig47979,16565,27472,25417,1725,0.0057,0.0036,0.0029,0.0021,0.0065,0.0056,0.0052,0.0064,0.006,0.0025,0.0784,0.1243,0.1179,0.1023,0.3283,0.0073,2,85.7215,collinear
121386,Contig64852,115248,10001,12131,11107,2130,100,-1686.47029,9017,90,893,0.9017,0.009,0.0893,Contig64852,10001,12131,11042,1720,0.0088,0.0041,0.009,0.1581,Contig64852,10001,12131,11042,1720,0.0083,0.0056,0.0043,0.002,0.0103,0.0088,0.0081,0.0108,0.0114,0.0037,0.0946,0.1532,0.1737,0.1258,0.5036,0.0365,2,66.6275,collinear
121387,Contig64852,115250,14652,20873,16746,6221,100,-1455.29327,9009,645,346,0.9009,0.0645,0.0346,Contig64852,14652,20873,16818,1909,0.0068,0.0053,0.0074,0.0838,Contig64852,14652,20873,16818,1909,0.0066,0.0074,0.0054,0.0057,0.0085,0.0073,0.0074,0.0097,0.0097,0.0057,0.0507,0.0793,0.08,0.0586,0.1648,0.0062,2,66.6275,collinear
63453,Contig4440,22179,2746,5173,4600,2427,100,-1063.66509,8984,181,835,0.8984,0.0181,0.0835,Contig4440,2746,5173,4456,1359,0.0075,0.0127,0.018,0.2119,Contig4440,2746,5173,4456,1359,0.007,0.0064,0.0106,0.0053,0.009,0.0186,0.013,0.0205,0.015,0.0192,0.0782,0.2812,0.3248,0.1084,0.39,0.2264,2,39.9645,collinear
108494,Contig58466,104196,46550,50070,48769,3520,100,-994.7659,8962,880,158,0.8962,0.088,0.0158,Contig58466,46550,50070,48631,2500,0.0064,0.0026,0.0063,0.1561,Contig58466,46550,50070,48631,2500,0.0058,0.0047,0.0024,0.0025,0.0087,0.0059,0.007,0.0076,0.0086,0.0033,0.132,0.1748,0.2147,0.1436,0.3861,0.0848,2,56.205,collinear
139527,Contig77770,130480,15558,20451,17594,4893,100,-1803.89049,8950,772,278,0.895,0.0772,0.0278,Contig77770,15558,20451,17857,2673,0.0042,0.0037,0.0063,0.1952,Contig77770,15558,20451,17857,2673,0.0041,0.0026,0.0035,0.0037,0.0047,0.0061,0.0064,0.0074,0.0075,0.0042,0.0775,0.1985,0.2177,0.1183,0.3262,0.0408,2,45.73,collinear
154039,Contig9810,33627,32761,36641,34873,3880,100,-1945.07091,8880,573,547,0.888,0.0573,0.0547,Contig9810,32761,36641,35009,1484,0.007,0.0042,0.0092,0.2186,Contig9810,32761,36641,35009,1484,0.007,0.0047,0.0045,0.002,0.0072,0.0091,0.0102,0.0088,0.0102,0.0037,0.0483,0.2016,0.3227,0.0895,0.4934,0.0276,2,72.2915,collinear
154038,Contig9810,33626,28713,32720,31111,4007,100,-1653.47004,8807,447,746,0.8807,0.0447,0.0746,Contig9810,28713,32720,30880,1674,0.0107,0.007,0.0129,0.1649,Contig9810,28713,32720,30880,1674,0.0107,0.007,0.0068,0.0049,0.0098,0.0125,0.0133,0.0123,0.0131,0.0062,0.0234,0.1559,0.2228,0.0768,0.3389,0.0146,2,72.2915,collinear
143252,Contig81835,133435,70863,82268,73062,11405,100,-1119.91746,8658,746,596,0.8658,0.0746,0.0596,Contig81835,70863,82268,74931,2860,0.004,0.0014,0.0041,0.1987,Contig81835,70863,82268,74931,2860,0.0036,0.0012,0.0015,0.0011,0.0052,0.004,0.004,0.0043,0.0041,0.0014,0.1721,0.2196,0.2096,0.1738,0.5041,0.0182,2,56.8095,collinear
108491,Contig58466,104197,50110,53365,51622,3255,100,-1287.46669,8342,807,851,0.8342,0.0807,0.0851,Contig58466,50110,53365,51686,2560,0.0054,0.0039,0.0057,0.0827,Contig58466,50110,53365,51686,2560,0.0042,0.0052,0.0033,0.0035,0.0072,0.0046,0.0056,0.0078,0.0084,0.0041,0.1217,0.0878,0.1663,0.1004,0.2832,0.05,2,56.205,collinear
75597,Contig47989,75138,43952,59888,47856,15936,100,-1590.85834,8264,1078,658,0.8264,0.1078,0.0658,Contig47989,43952,59888,47891,2742,0.0064,0.0055,0.0078,0.1084,Contig47989,43952,59888,47891,2742,0.006,0.0038,0.0055,0.0045,0.008,0.0077,0.0074,0.0086,0.0084,0.0056,0.1214,0.1194,0.1516,0.0722,0.2809,0.0315,2,48.8225,collinear
121384,Contig64852,115249,12205,14602,13504,2397,100,-1727.55258,8116,715,1169,0.8116,0.0715,0.1169,Contig64852,12205,14602,13434,1867,0.007,0.0038,0.0068,0.1025,Contig64852,12205,14602,13434,1867,0.0062,0.0073,0.0036,0.0039,0.0094,0.0066,0.0065,0.0082,0.0083,0.0044,0.093,0.1299,0.1081,0.0702,0.1815,0.0422,2,66.6275,collinear
142261,Contig80715,132665,357,4253,2490,3896,100,-2481.61987,8064,1298,638,0.8064,0.1298,0.0638,Contig80715,357,4253,2571,1825,0.0047,0.0051,0.0077,0.18,Contig80715,357,4253,2571,1825,0.0046,0.0047,0.0046,0.0064,0.0049,0.0079,0.0069,0.008,0.007,0.0064,0.0151,0.2169,0.1065,0.0711,0.0838,0.0474,2,26.237,collinear
89167,Contig51889,87210,28554,31730,30149,3176,100,-1247.98759,8017,1244,739,0.8017,0.1244,0.0739,Contig51889,28554,31730,30149,2851,0.004,0.0037,0.0046,0.0686,Contig51889,28554,31730,30149,2851,0.0037,0.0052,0.0036,0.0038,0.005,0.0044,0.0049,0.0055,0.0058,0.004,0.0343,0.0725,0.1187,0.0294,0.1048,0.0191,2,45.449,collinear
149373,Contig89488,138358,17918,26764,20107,8846,100,-1521.57787,7941,1720,339,0.7941,0.172,0.0339,Contig89488,17918,26764,19920,1151,0.0139,0.0053,0.013,0.147,Contig89488,17918,26764,19920,1151,0.0141,0.0085,0.0057,0.0028,0.0135,0.0137,0.0137,0.0086,0.0079,0.0045,0.0397,0.1574,0.1856,0.0257,0.1711,0.0109,2,60.093,collinear
143239,Contig81835,133436,82308,85045,83917,2737,100,-994.00741,7910,1221,869,0.791,0.1221,0.0869,Contig81835,82308,85045,83710,2475,0.0046,0.0011,0.0048,0.2714,Contig81835,82308,85045,83710,2475,0.0045,0.0026,0.0011,0.0015,0.0052,0.0046,0.0048,0.0058,0.0059,0.0014,0.0886,0.2751,0.1921,0.2703,0.4495,0.0159,2,56.8095,collinear
59847,Contig43454,61378,48873,58521,56336,9648,100,-1251.91331,7858,1310,832,0.7858,0.131,0.0832,Contig43454,48873,58521,55806,2280,0.0057,0.0087,0.0106,0.1437,Contig43454,48873,58521,55806,2280,0.0057,0.0047,0.0081,0.0093,0.0051,0.0106,0.0098,0.0106,0.0095,0.01,-0.001,0.1642,0.1326,0.0534,0.1081,0.0395,2,19.766,collinear
26223,Contig2508,13548,7796,10564,8989,2768,100,-1251.91376,7736,1092,1172,0.7736,0.1092,0.1172,Contig2508,7796,10564,9061,2337,0.0025,0.003,0.0038,0.1287,Contig2508,7796,10564,9061,2337,0.0025,5.00E-04,0.0029,0.003,0.0028,0.0037,0.0036,0.0045,0.0039,0.0031,0.1286,0.1278,0.1351,0.0986,0.2621,0.0184,2,0.923,LGC2.1
75503,Contig47979,75074,37456,54710,42044,17254,100,-1461.54786,7618,1436,946,0.7618,0.1436,0.0946,Contig47979,37456,54710,41368,1803,0.0058,0.0059,0.0092,0.1792,Contig47979,37456,54710,41368,1803,0.0061,0.0055,0.0054,0.0086,0.0058,0.0094,0.009,0.0098,0.0092,0.0075,-0.001,0.1998,0.098,0.0778,0.0954,0.0229,2,85.7215,collinear
44625,Contig40113,47785,33902,37310,35768,3408,100,-1261.99291,7600,1268,1132,0.76,0.1268,0.1132,Contig40113,33902,37310,35715,2482,0.0033,0.0036,0.0041,0.0593,Contig40113,33902,37310,35715,2482,0.0032,0.0027,0.0031,0.0048,0.0039,0.0038,0.0062,0.0033,0.0057,0.0054,0.0731,0.0786,0.2103,0.0137,0.1482,0.0943,2,46.856,collinear
95579,Contig53781,92968,63214,70195,65245,6981,100,-1277.18565,7597,1300,1103,0.7597,0.13,0.1103,Contig53781,63214,70195,65617,2027,0.0034,0.0047,0.0047,0.0515,Contig53781,63214,70195,65617,2027,0.0028,0.0055,0.0044,0.0053,0.0052,0.0042,0.0055,0.0062,0.0072,0.0053,0.0773,0.0545,0.1555,0.0272,0.1116,0.0248,2,45.449,collinear
58159,Contig43102,59854,54910,57746,55937,2836,100,-1316.79426,7573,1249,1178,0.7573,0.1249,0.1178,Contig43102,54910,57746,55984,1726,0.0034,0.0052,0.0058,0.1097,Contig43102,54910,57746,55984,1726,0.0029,0.0038,0.005,0.0047,0.0049,0.0058,0.0054,0.0065,0.0061,0.0058,0.1112,0.1375,0.1687,0.0427,0.1343,0.0477,2,50.324,collinear
95574,Contig53781,92969,70214,78140,72578,7926,100,-1077.37213,7523,1463,1014,0.7523,0.1463,0.1014,Contig53781,70214,78140,72732,2563,0.0027,0.0039,0.004,0.0673,Contig53781,70214,78140,72732,2563,0.0026,0.0029,0.0037,0.0046,0.0032,0.0039,0.0043,0.0042,0.0046,0.0044,0.0362,0.0785,0.0823,0.0238,0.0676,0.014,2,45.449,collinear
105111,Contig57093,101323,6143,9687,7750,3544,100,-2129.53948,7504,1700,796,0.7504,0.17,0.0796,Contig57093,6143,9687,7882,2625,0.0053,0.0054,0.007,0.1028,Contig57093,6143,9687,7882,2625,0.0045,0.0039,0.0047,0.0063,0.0072,0.0064,0.0068,0.0091,0.0082,0.0068,0.143,0.1303,0.1128,0.098,0.1738,0.0634,2,56.205,collinear
44542,Contig40099,47717,3326,6024,4653,2698,100,-1684.58025,7443,1270,1287,0.7443,0.127,0.1287,Contig40099,3326,6024,4666,2345,0.0032,0.0047,0.0046,0.0574,Contig40099,3326,6024,4666,2345,0.003,0.0025,0.0041,0.0065,0.0038,0.0042,0.0065,0.0048,0.007,0.0062,0.0849,0.0619,0.1617,0.0387,0.1501,0.0525,2,48.8225,collinear
154050,Contig9810,33628,36660,39786,38466,3126,100,-2037.9559,7429,1204,1367,0.7429,0.1204,0.1367,Contig9810,36660,39786,38265,1333,0.0066,0.0071,0.0077,0.0472,Contig9810,36660,39786,38265,1333,0.0065,0.0051,0.0074,0.0039,0.0068,0.0076,0.0075,0.0084,0.0081,0.0065,0.0393,0.0354,0.1542,0.0309,0.2503,0.0311,2,72.2915,collinear
75504,Contig47979,75073,28894,35415,31807,6521,100,-1483.79357,7380,609,2011,0.738,0.0609,0.2011,Contig47979,28894,35415,31856,2149,0.0056,0.0049,0.0075,0.1416,Contig47979,28894,35415,31856,2149,0.0057,0.0034,0.005,0.0041,0.0056,0.0074,0.008,0.0076,0.0086,0.0048,0.0458,0.1292,0.2077,0.0677,0.32,0.0115,2,85.7215,collinear
131021,Contig70865,123549,100301,110130,105592,9829,100,-2308.80549,7377,822,1801,0.7377,0.0822,0.1801,Contig70865,100301,110130,105360,2439,0.007,0.0089,0.0097,0.0751,Contig70865,100301,110130,105360,2439,0.0064,0.0073,0.0083,0.0077,0.008,0.0097,0.0081,0.0098,0.0096,0.01,0.0421,0.1061,0.0634,0.0255,0.0943,0.0584,2,41.512,collinear
129742,Contig7,35,77062,82916,80185,5854,100,-1244.48694,7371,1769,860,0.7371,0.1769,0.086,Contig7,77062,82916,80247,2235,0.0047,0.0059,0.0061,0.0509,Contig7,77062,82916,80247,2235,0.0044,0.0053,0.0057,0.006,0.0054,0.0059,0.0062,0.0065,0.0066,0.0062,0.0258,0.057,0.0844,0.0182,0.061,0.0162,2,38.415,collinear
122757,Contig65672,116409,7596,14486,10471,6890,100,-1326.82279,7335,466,2199,0.7335,0.0466,0.2199,Contig65672,7596,14486,10265,2965,0.0042,0.0052,0.0061,0.0962,Contig65672,7596,14486,10265,2965,0.0037,0.0048,0.0052,0.0043,0.0056,0.0058,0.0062,0.0072,0.0084,0.0051,0.0794,0.0941,0.2048,0.0424,0.2524,0.0164,2,42.355,collinear
75606,Contig47989,75137,40243,43943,41833,3700,100,-1360.41334,7333,2455,212,0.7333,0.2455,0.0212,Contig47989,40243,43943,42108,2963,0.0031,0.0027,0.0035,0.0772,Contig47989,40243,43943,42108,2963,0.0029,0.0015,0.0026,0.002,0.0036,0.0035,0.0036,0.0034,0.0035,0.0032,0.1144,0.0992,0.1664,0.0557,0.261,0.0882,2,48.8225,collinear
116960,Contig62457,111496,7140,12347,9809,5207,100,-1740.35131,7325,1395,1280,0.7325,0.1395,0.128,Contig62457,7140,12347,9987,2658,0.0067,0.0041,0.0061,0.0566,Contig62457,7140,12347,9987,2658,0.0055,0.0078,0.0039,0.005,0.0103,0.0053,0.0059,0.0107,0.0109,0.0045,0.135,0.0533,0.05,0.1111,0.2349,0.0053,2,39.824,collinear
34346,Contig38099,38460,98,3642,2409,3544,100,-1615.96602,7301,1454,1245,0.7301,0.1454,0.1245,Contig38099,98,3642,2491,1690,0.0054,0.0065,0.0065,0.0303,Contig38099,98,3642,2491,1690,0.0056,0.0039,0.006,0.0076,0.0052,0.0064,0.0075,0.0065,0.0073,0.0084,0.0197,0.0364,0.0628,0.0275,0.0826,0.0604,2,45.449,collinear
147294,Contig8631,32176,39676,52600,45298,12924,100,-1199.80931,7189,1065,1746,0.7189,0.1065,0.1746,Contig8631,39676,52600,45269,3784,0.0045,0.0055,0.006,0.0696,Contig8631,39676,52600,45269,3784,0.0045,0.002,0.0055,0.0045,0.0046,0.0058,0.0074,0.006,0.0085,0.006,0.0734,0.0527,0.2251,0.0437,0.3452,0.0441,2,42.355,collinear
47667,Contig4076,20608,103118,105205,103987,2087,100,-1276.96112,7156,1424,1420,0.7156,0.1424,0.142,Contig4076,103118,105205,104109,1598,0.0037,0.004,0.0042,0.036,Contig4076,103118,105205,104109,1598,0.0037,0.0029,0.004,0.0037,0.004,0.0042,0.004,0.0047,0.0047,0.0041,0.0496,0.0358,0.04,0.032,0.1306,0.0143,2,73.723,collinear
3284,Contig107182,144806,7459,9462,8491,2003,100,-1754.67149,7122,1595,1283,0.7122,0.1595,0.1283,Contig107182,7459,9462,8463,1546,0.006,0.0066,0.0074,0.0627,Contig107182,7459,9462,8463,1546,0.0057,0.0045,0.0063,0.0059,0.0068,0.0071,0.0091,0.0071,0.0088,0.0077,0.0712,0.0669,0.2055,0.0283,0.2052,0.0622,2,42.355,collinear
131034,Contig70865,123545,80901,83876,82477,2975,100,-2254.56699,7116,1829,1055,0.7116,0.1829,0.1055,Contig70865,80901,83876,82474,1652,0.0077,0.0058,0.0079,0.0656,Contig70865,80901,83876,82474,1652,0.0075,0.0058,0.0052,0.0077,0.0084,0.0077,0.0089,0.0076,0.0089,0.0074,0.0568,0.085,0.0749,0.0412,0.1026,0.0425,2,41.512,collinear
91989,Contig5273,24734,5055,6372,5658,1317,100,-1918.14041,7114,1730,1156,0.7114,0.173,0.1156,Contig5273,5055,6372,5711,1284,0.0124,0.0086,0.0131,0.0949,Contig5273,5055,6372,5711,1284,0.0118,0.0097,0.0074,0.01,0.0138,0.0122,0.0154,0.014,0.0172,0.0115,0.0624,0.1079,0.1544,0.0707,0.2224,0.0849,2,66.6275,collinear
122759,Contig65672,116410,14507,28450,23663,13943,100,-1318.14051,7112,781,2107,0.7112,0.0781,0.2107,Contig65672,14507,28450,22931,3474,0.0043,0.0039,0.0054,0.1053,Contig65672,14507,28450,22931,3474,0.0039,0.0038,0.0037,0.0033,0.0055,0.0051,0.0053,0.0062,0.007,0.0045,0.0968,0.1198,0.1696,0.0661,0.2777,0.0611,2,42.355,collinear
